title,director,country,date,,tr,trim_title,trim_director,trim_country,trim_date
Dick Johnson Is Dead,,Kirsten Johnson,United States,9-1-2021,,Dick Johnson Is Dead,Kirsten Johnson,United States,9-1-2021
Blood & Water,,unknown,United States,9-2-2021,,Blood & Water,Unknown,United States,9-2-2021
Ganglands,,Julien Leclercq,United States,9-3-2021,,Ganglands,Julien Leclercq,United States,9-3-2021
Jailbirds New Orleans,,unknown,United States,9-4-2021,,Jailbirds New Orleans,Unknown,United States,9-4-2021
Kota Factory,,unknown,United States,9-5-2021,,Kota Factory,Unknown,United States,9-5-2021
Midnight Mass,,Mike Flanagan,United States,9-6-2021,,Midnight Mass,Mike Flanagan,United States,9-6-2021
My Little Pony: A New Generation,,"Robert Cullen, JosÃ© Luis Ucha",United States,9-7-2021,,My Little Pony: A New Generation,"Robert Cullen, Josã© Luis Ucha",United States,9-7-2021
Sankofa,,Haile Gerima,United States,9-8-2021,,Sankofa,Haile Gerima,United States,9-8-2021
The Great British Baking Show,,Andy Devonshire,United States,9-9-2021,,The Great British Baking Show,Andy Devonshire,United States,9-9-2021
The Starling,,Theodore Melfi,United States,9-10-2021,,The Starling,Theodore Melfi,United States,9-10-2021
"Vendetta: Truth, Lies and The Mafia",,unknown,United States,9-11-2021,,"Vendetta: Truth, Lies and The Mafia",Unknown,United States,9-11-2021
Je Suis Karl,,Christian Schwochow,United States,9-12-2021,,Je Suis Karl,Christian Schwochow,United States,9-12-2021
Confessions of an Invisible Girl,,Bruno Garotti,United States,9-13-2021,,Confessions of an Invisible Girl,Bruno Garotti,United States,9-13-2021
Crime Stories: India Detectives,,unknown,United States,9-14-2021,,Crime Stories: India Detectives,Unknown,United States,9-14-2021
Dear White People,,unknown,United States,9-15-2021,,Dear White People,Unknown,United States,9-15-2021
Europe's Most Dangerous Man: Otto Skorzeny in Spain,,"Pedro de Echave GarcÃ­a, Pablo AzorÃ­n Williams",United States,9-16-2021,,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro De Echave Garcã­A, Pablo Azorã­N Williams",United States,9-16-2021
Falsa identidad,,unknown,United States,9-17-2021,,Falsa identidad,Unknown,United States,9-17-2021
Intrusion,,Adam Salky,United States,9-18-2021,,Intrusion,Adam Salky,United States,9-18-2021
Jaguar,,unknown,United States,9-19-2021,,Jaguar,Unknown,United States,9-19-2021
Resurrection: Ertugrul,,unknown,United States,9-20-2021,,Resurrection: Ertugrul,Unknown,United States,9-20-2021
Avvai Shanmughi,,K.S. Ravikumar,United States,9-21-2021,,Avvai Shanmughi,K.S. Ravikumar,United States,9-21-2021
Jeans,,S. Shankar,United States,9-22-2021,,Jeans,S. Shankar,United States,9-22-2021
Love on the Spectrum,,unknown,United States,9-23-2021,,Love on the Spectrum,Unknown,United States,9-23-2021
Minsara Kanavu,,Rajiv Menon,United States,9-24-2021,,Minsara Kanavu,Rajiv Menon,United States,9-24-2021
Grown Ups,,Dennis Dugan,United States,9-25-2021,,Grown Ups,Dennis Dugan,United States,9-25-2021
Dark Skies,,Scott Stewart,United States,9-26-2021,,Dark Skies,Scott Stewart,United States,9-26-2021
Chicago Party Aunt,,unknown,United States,9-27-2021,,Chicago Party Aunt,Unknown,United States,9-27-2021
Sex Education,,unknown,United States,9-28-2021,,Sex Education,Unknown,United States,9-28-2021
Squid Game,,unknown,United States,9-29-2021,,Squid Game,Unknown,United States,9-29-2021
Tayo and Little Wizards,,unknown,United States,9-30-2021,,Tayo and Little Wizards,Unknown,United States,9-30-2021
The Father Who Moves Mountains,,Daniel Sandu,United States,10-1-2021,,The Father Who Moves Mountains,Daniel Sandu,United States,10-1-2021
The Stronghold,,CÃ©dric Jimenez,United States,10-2-2021,,The Stronghold,Cã©Dric Jimenez,United States,10-2-2021
Angry Birds,,unknown,United States,10-3-2021,,Angry Birds,Unknown,United States,10-3-2021
Birth of the Dragon,,George Nolfi,United States,10-4-2021,,Birth of the Dragon,George Nolfi,United States,10-4-2021
He-Man and the Masters of the Universe,,unknown,United States,10-5-2021,,He-Man and the Masters of the Universe,Unknown,United States,10-5-2021
Jaws,,Steven Spielberg,United States,10-6-2021,,Jaws,Steven Spielberg,United States,10-6-2021
Jaws 2,,Jeannot Szwarc,United States,10-7-2021,,Jaws 2,Jeannot Szwarc,United States,10-7-2021
